"Median_house_value","Median_household_income","Mean_household_income","POPULATION","Total_units","Vacant_units","Owners","Median_rooms","Mean_household_size_owners","Mean_household_size_renters","LATITUDE","LONGITUDE"
241100,42985,54871,6967,3045,283,59.6,5.3,2.62,2.23,41.777467,-124.202703
289600,65553,68169,7026,1525,164,91.2,5.4,2.63,2.79,41.844992,-124.151561
258600,46293,57615,3655,1840,482,72,5.1,2.27,2.42,41.886085,-124.095489
141800,30927,41756,1373,613,88,58.7,4.9,2.34,2.98,41.541888,-124.033963
374800,46807,61679,4773,2757,1084,40,4.7,2.59,3.09,38.938307,-119.96104
341700,40417,51107,2469,1607,480,50.3,4.3,2.66,2.18,38.92323,-119.981138
364900,45417,52959,2867,2306,1010,36.9,4.3,2.38,2.16,38.936714,-119.985358
456000,52978,65410,3498,3500,1623,66,5.3,2.14,2.3,38.925862,-120.008591
252400,31811,41035,3723,2485,844,47.6,4.4,2.02,2.1,38.910059,-120.007962
452200,70726,89222,2641,1725,675,84.1,5.4,2.68,2.37,38.867639,-120.029697
468100,53285,68674,2912,2135,999,76.7,5.5,2.3,2.28,38.901095,-119.97473
436300,58214,71453,2704,1938,1106,58.2,5.2,2.16,2.4,38.845608,-120.005572
386000,81477,91569,5044,2065,157,85.5,6,2.56,2.8,38.878225,-120.991786
323400,62593,69411,6781,2846,325,84.1,5.3,2.54,2.15,38.87653,-120.85843
311600,57013,69970,3566,1965,596,80.9,5.2,2.31,2.49,38.839118,-120.746663
604800,123504,144505,6205,2356,69,86.8,7.7,3.09,1.78,38.723173,-121.085992
477200,80833,111101,5961,2402,120,70.9,5.8,2.58,2.77,38.626596,-121.04347
464400,103040,123589,6020,2362,87,82.7,6.8,2.89,2.01,38.672101,-121.082914
605800,127928,146148,4806,1694,77,94.9,7.7,3.11,3.2,38.701593,-121.063556
516200,133092,141433,4989,1903,138,90.2,7.2,2.77,3.49,38.681812,-121.064685
457000,87390,101349,4011,1595,138,90.9,6.4,2.7,2.71,38.719081,-120.9963
479100,76438,96759,7241,3061,454,80.6,6,2.68,2.58,38.684181,-120.967625
450300,84651,110735,6377,2589,265,82.6,6.2,2.82,3.5,38.647159,-120.940362
396800,81944,89991,3986,1568,44,75.9,6.4,2.78,2.08,38.663525,-121.004435
410300,84657,99536,6897,2511,38,76.4,6.5,2.92,3.13,38.680514,-121.006561
334300,84911,79990,2447,1033,36,69.4,5.8,2.45,3.09,38.662973,-120.983197
341000,61894,75642,3437,1452,122,60.1,5.4,1.94,2.32,38.687974,-120.994416
508400,79570,103522,3020,1228,99,88.6,6.4,2.54,2.6,38.778861,-120.932592
506000,79631,96580,4687,1932,113,81,6.5,2.71,2.53,38.718463,-120.895569
294100,60549,67187,6061,2551,145,69.6,5.3,2.43,2.76,38.740319,-120.83438
354300,59178,73869,5462,2453,214,63.1,5.2,2.64,2.39,38.741089,-120.783485
363300,61080,75045,5193,2046,255,70.5,5.5,2.42,2.95,38.723255,-120.789321
389500,59138,75562,3408,1592,218,83,5.7,2.57,1.76,38.742335,-120.692919
283700,47107,65556,4701,2430,435,72.9,4.9,2.41,2.33,38.758576,-120.606091
349000,53414,75036,5896,2797,556,91.7,5.4,2.25,2.11,38.60954,-120.662598
406600,81184,87770,2407,985,119,93.9,6,2.51,3.83,38.693338,-120.704206
339300,68910,80972,2426,1171,255,89.2,5.6,2.38,2.51,38.738717,-120.606469
306600,62320,84635,5544,2657,425,85.6,5.5,2.62,2.9,38.714939,-120.600709
284400,45229,54260,6031,2817,310,63.1,5,2.63,2.36,38.69625,-120.825483
445800,70888,85801,2810,1215,58,86.2,6.1,2.42,2.12,38.632134,-120.859127
290300,61681,75449,5337,2394,269,85.5,5.6,2.34,2.98,38.676228,-120.806757
352400,36988,49545,4126,2901,1504,16.7,3.9,2.5,2.65,38.948411,-119.948482
676400,137100,160062,2648,876,26,98.1,8,3.06,2,38.697053,-121.094504
589700,124923,143876,6798,2254,189,87.4,7.8,3.19,3.39,38.671928,-121.048389
333300,46528,57324,133,836,807,75.9,4.1,1.55,1.71,38.780953,-120.242669
503400,52768,67857,1015,2581,2275,57.5,4.8,2.43,1.8,39.041728,-120.125752
161800,13596,19753,3167,838,26,19,4.9,3.35,4.05,36.733417,-119.808589
139000,22245,33660,3609,1125,119,28.4,4.5,2.9,3.9,36.725356,-119.80304
135400,31494,39151,6343,1348,89,46.6,4.9,4.09,4.16,36.728029,-119.773631
210000,19547,31449,2815,863,100,8.7,4,3.32,4.07,36.743181,-119.774866
111800,33438,42285,3606,1108,144,14.3,3.6,2.52,3.3,36.745907,-119.781446
204500,20146,26083,6161,2181,450,11.2,3.5,4.46,2.71,36.746502,-119.79562
168100,27386,42795,3921,1245,112,48.5,5,3.51,3.37,36.728157,-119.823056
200000,24427,29306,964,227,0,47.6,5.4,3.36,3,36.716206,-119.827081
153800,29637,35452,3151,765,205,27.7,5.1,2.92,4.87,36.710228,-119.801777
98400,24748,29126,5252,1368,69,27.9,4.9,4,3.82,36.71829,-119.800484
129200,21904,30087,4106,991,80,36,5,3.04,4.52,36.699557,-119.79804
153100,28828,35535,3174,805,40,40.3,5,4.05,3.76,36.714142,-119.786484
130300,37372,46410,5936,1490,128,44.6,4.6,4.42,4.23,36.710356,-119.754398
124800,26111,38140,4756,1145,61,36.3,5,4.04,4.03,36.713572,-119.7413
97700,27341,33634,5653,1498,182,48.7,4.9,3.72,3.51,36.732442,-119.750657
244000,27146,36418,2888,610,81,38,5.1,3.76,5,36.724903,-119.75899
123200,31625,38845,5796,1456,56,29.9,4.9,4.18,4.84,36.724898,-119.745727
154900,18549,32924,4694,1722,183,20.9,4,2.91,3.11,36.73214,-119.727859
189400,16788,32393,2504,1237,41,22.6,2.6,3,1.38,36.725605,-119.72934
339700,89250,110542,1848,685,65,71.5,6.2,2.58,3.63,36.728175,-119.710864
180700,48829,56226,9109,2241,161,75.3,5.8,4.37,4.34,36.71449,-119.720108
191000,26313,42486,5276,1824,191,32,4.2,3.52,2.65,36.743165,-119.691951
228600,78214,80194,2790,761,43,80.1,6,4.07,3.32,36.742001,-119.671921
268800,67200,90246,4605,1300,190,95.9,6.2,3.14,2.22,36.728431,-119.672472
277200,68155,74184,7381,2100,276,84,6.1,3.4,3.89,36.719452,-119.691442
184800,21677,34767,2206,782,47,52.2,4.6,2.93,2.92,36.681726,-119.729858
239100,38950,57982,5099,1579,18,50.4,5.3,3.28,3.22,36.636326,-119.668356
267800,55189,64978,5701,1694,199,56.4,5.3,3.05,3.89,36.623761,-119.719682
236800,41354,64849,4615,1459,132,61.6,5.5,3.05,3.61,36.655507,-119.795542
274500,45060,63074,2914,922,93,61.9,5.4,2.92,3.74,36.711254,-119.860243
29100,25956,35834,6369,2052,283,43.6,4.3,2.53,3.66,36.759152,-119.836163
161100,35039,45783,5419,2184,137,49.2,5,3.19,2.54,36.758741,-119.815573
222200,31976,43535,3594,1735,180,35.4,4.8,2.16,2.21,36.758192,-119.803979
196200,34375,42428,3624,1441,152,39.9,4.3,2.88,2.25,36.756624,-119.794777
121600,19705,28049,4959,1466,214,26.5,4.1,3.65,2.97,36.757227,-119.781263
110900,23380,26883,5098,1474,237,24.9,4.2,4.58,3.59,36.76088,-119.762543
114500,29333,38479,5431,1375,143,22.5,4.5,4.16,4.64,36.754052,-119.764467
171500,32212,38828,5821,1463,129,40.9,4.7,4.02,4.31,36.746786,-119.76353
196200,36595,49901,3520,1064,20,64.2,5.5,3.51,3.63,36.739264,-119.762496
107100,32974,44162,4673,1292,71,62.2,5.1,3.49,4.16,36.746815,-119.745904
113800,27646,33911,5882,1521,88,28.7,4.7,4.01,4.11,36.739143,-119.742626
127900,24167,31449,5205,1412,202,26.3,4.5,4.41,4.06,36.756544,-119.746232
143000,23179,31728,4329,1420,35,30.2,4.4,3.68,3.5,36.740052,-119.730208
168900,36343,49599,2897,833,67,75.7,5.4,2.8,5.76,36.746423,-119.728345
191700,24654,39935,2889,1000,183,29.9,4.2,3.44,3.2,36.753889,-119.72495
157800,37157,45821,5520,1599,184,46.6,4.8,3.8,3.93,36.761175,-119.725786
162000,34593,45211,3175,911,67,36.1,4.6,4.86,3.42,36.755976,-119.711934
179600,30680,35296,4154,1353,53,21.3,4.4,3.33,3.34,36.739743,-119.709441
190800,42643,50085,2301,793,29,75.9,5.4,2.97,2.77,36.746836,-119.708797
195000,38212,43770,7048,2833,200,22.1,4.2,3.3,2.81,36.804634,-119.71729
172200,39436,51067,5708,2286,257,37.2,4.6,2.47,2.29,36.797884,-119.720779
227200,41399,49365,3810,1639,14,39.4,4.2,2.48,2.14,36.791885,-119.713982
140500,33638,47222,4398,1533,102,52.1,4.9,3.28,3.55,36.776341,-119.742631
141000,40255,42963,5265,1798,220,38.7,4.6,3.41,4.01,36.768489,-119.741236
158200,39611,44565,3507,1219,133,49.8,5.2,3.18,4.03,36.775736,-119.765689
149200,34180,37893,4749,1647,248,51.8,4.4,3.1,2.92,36.768771,-119.763874
146500,28810,38328,4555,1591,173,39.6,4.6,3.04,3.01,36.77227,-119.778851
195800,36865,48286,5674,2257,249,45.3,4.7,3.12,2.34,36.773239,-119.795628
231800,58831,70876,4009,1830,100,69.4,5.8,2.23,2.55,36.772711,-119.811585
150500,38817,41031,3314,1160,45,48.3,4.9,2.25,4.24,36.768737,-119.825124
192700,33021,43122,4933,1738,49,44.3,4.8,2.53,3,36.776055,-119.829228
231200,64617,81082,8153,2246,183,87.5,5.8,3.88,4.09,36.770361,-119.893158
187000,68973,73161,5531,1636,94,75.9,5.6,3.64,3.95,36.777332,-119.869297
124000,32565,42677,6852,2305,234,41,4.6,2.87,3.3,36.778736,-119.854915
224000,34384,56577,3362,1111,89,56.1,5.2,3,3.33,36.763081,-119.852186
216400,54875,63347,5082,1504,34,68.7,5.7,3.97,4.5,36.765308,-119.872465
156900,55240,61787,4771,1503,168,49.4,4.8,3.31,3.06,36.793811,-119.87257
208700,53702,57981,5256,1507,26,78.6,5.5,3.59,3.44,36.795638,-119.887997
249700,38451,49055,5804,1792,369,47.6,5,2.81,3.26,36.724075,-120.079455
250000,48791,71930,7248,2045,183,58.9,5.1,3.74,3.6,36.727719,-120.072061
197500,43799,52308,7129,1991,147,51.1,4.9,3.82,4.03,36.72664,-120.051198
296600,37647,52435,3306,967,111,48.8,5.7,2.74,3.46,36.798866,-120.005276
125100,32007,36743,5888,2079,108,40.1,4.9,3.15,2.88,36.797595,-119.848523
292600,61037,68686,8115,2208,128,66.9,5.9,3.44,3.78,36.811346,-119.901436
339500,98472,120718,7124,2550,35,82.6,6.3,3.23,2.21,36.844974,-119.885309
276300,66667,72511,3480,1545,109,38.1,4.7,3.41,2.23,36.831599,-119.869296
233800,70698,84123,6319,2162,189,74.9,5.5,2.89,2.94,36.827956,-119.881296
191900,50382,60472,10762,4353,436,39.4,4.4,3.02,2.5,36.816021,-119.867495
207700,49052,59728,3248,1342,52,58.1,5.7,3.05,2.28,36.819002,-119.852224
317500,81154,95874,4978,1951,75,78.5,6.3,2.92,2.95,36.829035,-119.854343
279000,84241,90791,4475,1445,0,81.4,5.9,3.02,3.16,36.829864,-119.895144
256300,73450,85252,2629,907,39,72.6,5.7,2.86,4.2,36.840372,-119.900736
579300,127533,178587,3853,1687,63,86.6,7.3,2.5,2.73,36.843137,-119.840845
375200,87756,120221,4848,2121,73,82.5,7.2,2.51,3.06,36.830341,-119.830334
372300,64211,99337,4162,1945,149,83.7,6.4,2.26,1.5,36.815655,-119.830591
154400,38370,42102,3556,1261,69,13.2,4,5.11,3.02,36.843709,-119.796915
364600,88456,113792,4040,1573,84,85.4,6.9,2.57,3.11,36.858105,-119.773929
213700,60445,63382,5211,2476,168,46.4,4.4,2.16,2.18,36.846056,-119.774661
429700,67518,85578,3517,1821,116,32.5,4.6,2.9,2.27,36.856926,-119.796962
302400,63026,83026,3486,1486,78,55.1,5.6,2.62,2.59,36.841413,-119.816701
287600,65220,84819,4723,2165,76,62,5.9,2.3,1.94,36.829857,-119.807672
86500,40255,49762,4762,2248,114,37.3,4.8,2.55,2.46,36.83038,-119.791913
232000,32368,43634,4866,2191,246,27.2,4.2,2.07,2.24,36.814709,-119.787487
298000,68036,103905,3158,1613,82,72.6,5.9,2.37,2.09,36.81628,-119.807415
215000,40590,54925,2641,1195,38,67.2,5.7,2.4,2.22,36.802958,-119.824869
372400,62222,118951,2555,1142,24,73.7,6.6,2.33,2.88,36.801488,-119.809247
140100,35451,43383,6682,2565,430,56.5,4.9,2.88,3.3,36.799815,-119.836496
157900,40640,45177,4218,1342,32,55.4,5.2,3.27,3.15,36.789821,-119.835793
149000,28245,35610,5212,1691,139,32.5,4.4,3.43,3.31,36.782909,-119.836117
186300,24477,34315,4604,1662,150,32,4.3,2.14,3.24,36.785399,-119.812788
167300,26190,37127,4599,1683,0,26.1,4.2,3.59,2.88,36.787914,-119.822163
198100,33859,43319,4052,1680,74,46.2,4.5,2.3,3.04,36.786203,-119.796336
251900,76280,88372,1985,749,174,76.5,5.5,2.86,3.45,36.790042,-119.809088
188600,47974,66214,3917,1611,223,62.6,5.6,2.67,2.64,36.800818,-119.788655
189300,29837,38687,5723,2268,329,37.3,4.6,2.94,2.59,36.787616,-119.781842
147800,27564,37767,3619,1292,113,33.3,4.3,2.72,3.49,36.783372,-119.747655
165800,43417,43493,4519,1693,52,53.2,5,2.91,3.07,36.783764,-119.76342
196300,40435,44256,4105,1444,38,36.6,5,2.52,3.8,36.790486,-119.762954
165100,41322,52613,5740,1965,95,55.3,5.5,2.59,3.5,36.797605,-119.768313
206600,32939,47045,5208,2116,92,33.3,4.3,2.45,2.8,36.804896,-119.763616
212600,32461,46639,5305,2336,154,31.5,4.1,2.36,2.37,36.805476,-119.742083
203100,42558,55360,3635,1210,139,58.8,5.4,2.81,3.39,36.798425,-119.74323
145900,19329,31772,4171,1652,118,15.3,4,2.45,2.67,36.812425,-119.762576
253000,65962,75164,4145,1658,106,68.4,6.3,2.66,3.08,36.826853,-119.769324
227100,60370,75823,3899,1527,47,70.5,6.1,2.57,3.39,36.833381,-119.766796
245900,68029,81523,3139,1265,124,68.8,6.1,2.71,3,36.833983,-119.744396
220900,32056,43918,3560,1597,59,27,4.5,2.11,2.88,36.819314,-119.759054
245800,40243,51610,3298,1273,123,49.5,5.3,2.68,2.84,36.816626,-119.777197
307800,77500,118577,4254,1897,109,75.7,5.8,2.51,1.76,36.888922,-119.767332
344300,95234,105399,2295,772,28,79.3,6,3.34,2.94,36.886874,-119.742978
329200,113218,134102,6613,2275,76,86.9,6.2,3.22,3.62,36.87412,-119.73848
319300,79271,94686,5732,2274,235,71.8,6.1,3.04,2.7,36.859275,-119.756029
356100,102019,111100,5796,2152,59,71,6.5,2.99,3.01,36.85914,-119.738778
298500,65200,78740,4678,1726,98,58.3,5.8,3.01,3.24,36.845135,-119.741193
285100,54418,70429,4997,2415,198,50.4,4.9,2.64,1.85,36.845597,-119.755696
305200,91481,97333,4824,1669,61,73,6,3.2,2.77,36.8462,-119.680678
358600,99038,112176,2952,948,40,77.1,7.2,3.21,2.95,36.845537,-119.703908
330900,72167,83471,3961,1346,58,72.9,6.2,3.01,2.06,36.846772,-119.720514
680500,108681,151126,1653,638,45,85.7,6,2.77,1.86,36.934222,-119.70506
318400,74485,93033,5527,2810,482,47.4,4.8,2.43,1.96,36.870332,-119.763942
499600,105856,174412,7487,2668,213,80.8,7.1,3.06,3.13,36.883461,-119.756535
353800,82146,103025,2753,883,0,90.8,7,3.11,3.06,36.862341,-119.644286
425500,116750,141865,2698,725,31,95.1,7.1,3.4,3.74,36.86092,-119.667607
395200,126123,136486,4467,1384,151,88.2,6.8,3.03,4.05,36.861422,-119.697996
374400,115242,118122,4571,1599,69,81,6.7,2.64,2.65,36.861058,-119.720851
388900,79420,105338,1244,480,9,76.4,6.7,2.58,3.23,36.881496,-119.689243
173400,35927,49133,5467,2372,245,23.5,3.9,3.01,2.05,36.821237,-119.706594
276400,79750,84512,1470,532,22,78.8,6.5,2.65,3.58,36.83182,-119.732467
325200,73468,78191,3847,1392,76,74.8,5.9,3.27,2.4,36.829689,-119.721597
66700,30332,38418,3993,1935,127,17.9,3.9,1.83,2.23,36.818155,-119.716384
117600,37744,46977,3064,1469,122,62.8,5,2.16,2.61,36.812542,-119.717633
206500,48226,55418,3697,1421,58,55.2,5.2,2.82,2.65,36.829318,-119.690931
263100,83486,89233,5243,1859,160,88.8,6.3,2.88,2.51,36.829967,-119.672537
290500,93925,97634,5176,1846,116,89.6,6.3,2.89,2.77,36.815916,-119.67174
215700,51552,63906,5542,1863,151,54.6,5.2,3.09,3.5,36.816358,-119.690261
193300,55868,72187,4856,1870,57,67.6,5.3,2.75,2.82,36.800556,-119.689446
345000,75536,88597,4195,1472,92,84.4,6.8,2.8,3.81,36.800409,-119.673441
184400,60833,63798,6626,2202,212,80.3,5.3,3.22,3.51,36.786448,-119.689657
282000,83705,86715,3798,1086,149,96.2,6.1,2.91,5.06,36.78009,-119.673377
366400,83949,112321,4192,1367,209,79.8,5.9,3.24,4.22,36.756923,-119.646277
415100,96756,121829,6809,2450,177,88.5,6.8,3.1,2.9,36.79263,-119.586281
413500,97841,97433,2240,956,151,82.7,6.5,2.85,1.88,36.77872,-119.527835
329500,88098,95589,3095,1005,111,67.7,6.2,3.36,3.78,36.823891,-119.659915
296700,85543,92123,4627,1392,92,80.5,6.8,3.54,3.53,36.807588,-119.656361
342500,94022,93507,3386,1172,86,98.3,6.6,3.29,1.61,36.795182,-119.656822
426500,121477,124380,3280,1261,206,95.8,6.7,3.13,3.77,36.829428,-119.632066
185500,54361,60112,8895,2973,129,54.4,5.3,3.24,2.93,36.711648,-119.568263
170700,41463,57961,7536,2128,135,60.7,5.1,3.61,4.1,36.696447,-119.566553
156300,34242,38427,2608,642,87,41.1,5.2,2.63,5.51,36.696104,-119.546439
168200,33341,48183,6807,1773,30,54,5.1,3.72,4.55,36.709639,-119.5482
273900,71305,83790,7254,2431,306,69.6,5.8,3.32,3.43,36.64079,-119.431806
314100,63922,84403,2973,3862,2651,74.1,5.2,2.55,3.34,37.057382,-119.363289
211800,58750,59707,6304,3282,1085,74.7,5.1,2.67,2.52,36.72221,-119.185904
414800,83877,99402,4909,2094,305,89.4,6.2,2.93,3.21,36.952157,-119.459062
282800,73750,88773,4795,1933,243,85.1,5.5,2.49,3.02,37.033412,-119.538189
180200,27674,34132,6662,1555,30,41.8,4.8,4.68,4.03,36.618561,-119.327036
162900,27772,41442,4159,1161,51,43.3,5.1,3.54,3.75,36.628884,-119.313735
168400,28784,38042,5597,1520,94,41.4,4.8,3.74,3.78,36.594621,-119.440757
207800,72750,73922,2047,675,147,79.7,5.1,3.32,4.17,36.606944,-119.453226
181600,42500,52524,7959,1925,65,53.3,5,4.19,4.12,36.603635,-119.438126
194900,43125,60510,6304,2057,102,69.3,5.7,2.94,3.73,36.588014,-119.455127
160500,43487,59160,4019,1101,158,55.1,4.9,3.24,3.85,36.607769,-119.515957
220500,46125,57694,3170,901,9,66.1,5.5,3.79,4.36,36.651706,-119.580735
213900,34507,45424,4514,1377,16,43,4.8,2.81,3.31,36.570592,-119.609224
208600,51770,60736,7750,2252,158,66.1,5.5,3.64,3.9,36.586436,-119.621095
220600,55425,69831,5520,1817,120,75.8,5.8,3.15,3.45,36.581371,-119.603284
214900,33957,43792,7904,2012,169,52.5,5,3.77,4.58,36.563932,-119.620693
290600,52028,72898,7671,2731,300,58.2,5.7,3.18,2.83,36.527618,-119.547702
194400,57841,60825,5109,1688,90,67.5,5.2,3.35,3.34,36.511965,-119.563495
322200,47396,62448,4869,1481,174,51.3,5.2,3.4,3.97,36.540241,-119.676608
195000,45478,58469,3548,983,46,53.7,5.2,3.17,3.38,36.441358,-119.708836
248100,44146,57847,5287,1451,193,53.2,5.4,3.46,4.86,36.537917,-119.833046
279900,37881,50421,4806,1392,98,36.7,5.2,2.88,4.38,36.591599,-119.884542
171100,43472,51362,5599,1644,39,53.7,5.2,3.3,4.5,36.433991,-119.872346
141100,43116,42476,2722,537,26,39.1,4.9,3.69,4.29,36.19378,-120.094137
123300,22123,29317,5269,1438,138,12.2,4.6,5.45,4.25,36.234145,-120.107514
171700,47257,73502,2742,830,53,48.6,4.8,3.47,3.47,36.182823,-120.327187
187300,49406,64480,5277,1532,122,56.3,5.3,2.42,3.22,36.143619,-120.365728
193800,41336,55933,5691,1640,132,50.8,4.8,3.29,2.75,36.140412,-120.353407
162900,25894,35516,6978,1860,205,45.7,4.9,4.06,4.35,36.596485,-120.217314
134800,34193,39122,5989,1417,72,47.1,4.9,4.43,4.5,36.764465,-120.382034
166300,23239,28198,6562,1736,210,43.3,4.8,4.29,3.57,36.735784,-120.403388
139700,32292,44020,7991,2419,307,49.7,4.9,3.85,3.65,36.861145,-120.458371
187500,32153,55831,1152,425,81,23.8,4.9,2.66,3.18,36.924767,-120.618473
122100,29855,51437,4585,1209,127,38.7,4.8,4.18,4.62,36.604262,-119.551907
146100,41484,49870,7929,1756,73,53.5,5.4,4.76,3.87,36.610715,-119.541085
208700,45530,52223,8192,3019,297,66.4,5.4,3.12,2.94,39.746867,-122.189404
241700,41220,56397,4901,1775,178,79.5,5.1,2.97,2.96,39.749488,-122.202993
260400,55250,83728,2373,954,283,80.3,5.4,2.5,3.37,39.614877,-122.320527
234000,42871,61765,7636,3176,296,58.5,5.2,2.69,2.44,39.523134,-122.201642
247200,35888,53221,3456,1099,90,60.7,5.1,3.45,3.87,39.744561,-122.026676
348500,44722,71319,1564,741,137,60.9,6.1,2.56,2.82,39.535874,-122.033158
239400,36910,43911,4901,2119,188,22.8,3.9,2.46,2.11,40.797007,-124.169162
264200,34602,62470,6211,2469,94,44.2,5,2.64,2.39,40.786151,-124.172419
265400,41094,55172,5544,2296,141,67,5.1,2.39,2.77,40.775015,-124.173578
319500,34659,58424,3873,1787,166,65.9,5.1,2.34,2.72,40.763547,-124.177588
306800,28138,36970,4263,1951,211,30.6,4,2.18,1.73,40.800787,-124.154566
306000,39772,53073,4866,2168,37,63.9,5.4,2.27,2.69,40.789263,-124.151159
334800,59104,68878,5360,2502,130,57.9,5.3,2.57,1.99,40.76988,-124.147867
318500,55483,84726,4668,2265,252,61.5,5.1,2.3,2.43,40.79212,-124.127604
443300,58909,77930,5074,2311,151,73.1,5.5,2.32,2.16,40.836375,-124.058562
397800,25925,41694,5906,2512,209,24.6,3.8,2.05,2.01,40.869881,-124.081978
299700,34423,51112,6350,2949,499,41.9,4.6,2.31,2.36,40.884331,-124.092733
398800,37925,53252,4686,2103,226,42.6,4.4,2.49,2.35,40.884466,-124.062017
218900,32449,43118,1479,697,19,36.9,4.9,1.77,3.03,40.843151,-124.166528
226300,28304,36198,2884,1686,574,61.2,4.2,2.01,2.05,41.072238,-123.641361
413600,40571,51778,2983,1703,430,71.2,4.6,2.1,1.99,41.09724,-124.116645
365000,55000,66318,3607,1738,278,66.1,5.2,2.61,2.43,40.912109,-123.993946
342200,53979,67378,3688,1680,42,70.2,5.6,2.93,2.75,40.970648,-124.100648
285100,35921,50753,6635,2978,92,55.3,4.7,2.64,2.2,40.944211,-124.112622
323500,47043,57571,5281,2556,171,67.3,5.2,2.29,2.27,40.936168,-124.088365
450400,59875,73316,1798,873,84,78.3,5.8,2.58,1.66,40.766586,-124.077746
320200,43638,59730,6940,3030,233,67.8,5.4,2.42,2.92,40.728926,-124.182775
320900,34693,52700,4785,2064,335,57.8,5.3,2.78,2.4,40.614876,-124.179505
293500,34160,54154,4533,1745,117,50.9,5.1,2.57,2.9,40.590315,-124.142289
362600,44556,75661,4143,1941,415,78.6,5.3,2.63,3.02,40.536614,-124.029319
278900,49671,59156,4386,1770,43,76.3,5.3,2.55,2.38,40.569947,-124.135031
238200,40324,65762,4976,2126,303,57.8,5,2.69,2.53,40.488693,-124.093723
423700,48534,79855,3220,1740,418,66.2,5.8,2.43,2.57,40.53776,-124.250365
348400,40435,46764,4409,2426,968,72.1,4.4,2.1,1.98,40.115341,-123.917054
346700,30578,37886,4133,1991,536,51.3,4.3,2.47,1.44,40.179192,-123.776276
202100,28056,40438,3041,1117,207,64.4,4.9,3.21,3.27,41.060327,-123.676754
141700,14231,26520,4601,196,86,58.2,4.5,1.8,2.74,33.171214,-115.484386
104000,30216,48290,5007,2414,419,55.4,4.9,3.16,3.91,33.152103,-115.516082
156400,30431,39971,2640,909,149,51.6,4.9,2.72,2.81,33.038199,-115.625496
220800,58977,70377,933,433,80,71.4,5,2.96,2.85,32.982915,-115.506085
128600,22083,30658,7162,2133,387,34.5,4.7,3.65,3.85,32.984833,-115.524344
170000,49293,58768,6593,2239,194,60.8,5.2,3.63,2.62,32.98611,-115.541863
222000,60938,91392,6998,2354,284,57.5,5.2,3.07,2.96,32.969021,-115.547094
135600,30342,38962,4322,1452,78,48.4,5.1,3.69,3.63,32.973964,-115.520338
174000,65982,72857,1368,593,152,53.1,5.3,2.75,4.83,32.801637,-115.380052
161300,41462,61778,6755,2516,324,56.3,5.1,3.31,2.83,32.81579,-115.37714
196200,49732,61728,12047,4008,422,66,5.4,3.26,2.68,32.848558,-115.571169
163700,48696,58705,3685,1375,205,59,5,3.16,2.98,32.794432,-115.675611
208100,64728,74649,6043,2077,104,71.1,5.5,3.32,3.03,32.818244,-115.574456
64500,22707,40630,5444,1978,248,28.8,4.1,2.79,3.06,32.801283,-115.574115
160400,51375,59944,10460,2844,257,63.8,5.3,3.67,4.13,32.748168,-115.528518
117100,23974,32593,4580,1348,132,40.2,4.9,3.8,3.77,32.78991,-115.544033
115900,21314,32565,6232,2018,175,30.4,3.8,3.31,2.92,32.799038,-115.560838
165800,26867,39958,6310,2295,283,34.2,4.4,3.03,3.13,32.786921,-115.560008
159200,46724,59885,4797,1521,93,65,5.6,3.01,4.1,32.777628,-115.555037
273100,102566,114356,3821,1197,26,90.4,6.6,3.03,5,32.785936,-115.584363
184300,50278,60721,4870,1984,240,48.1,5,3.66,2.13,32.784376,-115.574094
233000,87647,93602,5937,2008,310,78,6.5,3.59,2.97,32.763773,-115.55849
196600,42629,60097,10966,2826,136,71.1,5.2,4.3,3.13,32.690887,-115.483221
116300,26954,38648,3831,1135,26,20.8,4.3,4.3,3.27,32.66865,-115.486417
174600,48019,63114,9678,2439,199,70.5,5.6,4.36,3.2,32.677037,-115.481026
168400,23269,36637,6937,2078,114,25.5,4.3,3.35,3.64,32.677114,-115.496173
161400,42633,51668,7804,1831,72,68.1,5.6,4.38,3.36,32.678137,-115.514566
122900,33188,41080,5633,773,328,72.4,4.9,1.61,3.43,32.860374,-115.816033
92200,29867,40665,4756,2082,861,70.3,5.2,2.99,2.36,33.346503,-115.988695
40200,22000,31808,1266,1269,803,80.7,3.9,1.78,2.87,33.310047,-115.376604
33600,22703,32237,3052,1343,364,36.3,4.4,2.97,2.76,32.755506,-114.611979
84600,56481,64034,2757,1318,142,82.1,5.6,2.29,3.22,37.382277,-118.41496
366000,55288,79966,1718,942,195,67.9,5.4,2.17,2.45,37.341173,-118.49916
502600,80625,84085,2457,1218,82,85.2,5.9,2.26,3.95,37.35651,-118.431068
268300,36250,52442,5668,2688,234,41.2,4.3,2.59,2.02,37.364903,-118.403637
230200,59375,63205,2568,1338,344,75.3,4.9,2.14,2.29,37.069855,-118.264188
156300,36577,48947,3378,1953,550,54.2,4.3,2.16,2.24,36.46959,-117.691309
171700,56309,62924,12240,4718,277,55.5,5.1,3.02,2.38,35.432186,-119.031214
141100,42426,52040,3055,1352,111,53,5,2.55,2.44,35.431438,-119.01772
150500,24976,35972,7644,3130,452,36.1,4.6,2.68,2.78,35.416212,-119.034709
110500,25096,32178,4217,1893,357,41.5,4.3,2.07,2.41,35.410994,-119.026659
24000,20319,26790,4319,1918,126,35.9,4.1,2.52,2.52,35.405843,-119.0302
