"brand" "fuel" "aspiration" "bodystyle" "drive.wheels" "engine.location" "wheel.base" "length" "width" "height" "curb.weight" "engine.size" "compression.ratio" "HP" "peak.rot" "city.distance" "highway.distance" "n.cylinders"
"volkswagen" "gas" "std" "wagon" "fwd" "front" 255.0 465.1 169.9 140.0 1162.6 1.7862  9.00  88 5500 10.628 13.179  4
"volvo" "gas" "std" "sedan" "rwd" "front" 264.9 479.6 170.7 142.7 1320.9 2.3106  9.50 114 5400  9.778 11.904  4
"volvo" "gas" "std" "wagon" "rwd" "front" 264.9 479.6 170.7 146.1 1376.2 2.3106  9.50 114 5400  9.778 11.904  4
"volvo" "gas" "std" "sedan" "rwd" "front" 264.9 479.6 170.7 142.7 1331.3 2.3106  9.50 114 5400 10.203 11.904  4
"volvo" "gas" "std" "wagon" "rwd" "front" 264.9 479.6 170.7 146.1 1379.9 2.3106  9.50 114 5400 10.203 11.904  4
"volvo" "gas" "turbo" "sedan" "rwd" "front" 264.9 479.6 170.7 142.7 1381.2 2.1303  7.50 162 5100  7.227  9.353  4
"volvo" "gas" "turbo" "wagon" "rwd" "front" 264.9 479.6 170.7 146.1 1432.0 2.1303  7.50 162 5100  7.227  9.353  4
"volvo" "gas" "std" "sedan" "rwd" "front" 277.1 479.6 175.0 141.0 1339.0 2.3106  9.50 114 5400  9.778 11.904  4
"volvo" "gas" "turbo" "sedan" "rwd" "front" 277.1 479.6 174.8 141.0 1383.0 2.3106  8.70 160 5300  8.078 10.628  4
"volvo" "gas" "std" "sedan" "rwd" "front" 277.1 479.6 175.0 141.0 1366.2 2.8350  8.80 134 5500  7.652  9.778  6
"volvo" "diesel" "turbo" "sedan" "rwd" "front" 277.1 479.6 175.0 141.0 1459.2 2.3761 23.00 106 4800 11.053 11.479  6
"volvo" "gas" "turbo" "sedan" "rwd" "front" 277.1 479.6 175.0 141.0 1388.9 2.3106  9.50 114 5400  8.078 10.628  4
